ID,Adoption,Died,Euthanasia,Return_to_owner,Transfer
174,0.25,0.0075,0.1025,0.365,0.275
175,0.2825,0.0,0.01,0.6175,0.09
176,0.5475,0.0375,0.015,0.0,0.4
177,0.275,0.01,0.0975,0.34,0.2775
178,0.655,0.0,0.0075,0.1775,0.16
179,0.6675,0.0,0.0025,0.08,0.25
180,0.0125,0.01,0.1125,0.1475,0.7175
181,0.0,0.01,0.0425,0.0238333333333,0.923666666667
182,0.805,0.0,0.0125,0.01,0.1725
183,0.2575,0.0,0.215,0.325,0.2025
184,0.0575,0.0,0.06,0.175,0.7075
185,0.4275,0.0375,0.005,0.465,0.065
186,0.3475,0.0,0.0175,0.4625,0.1725
187,0.0,0.0,0.0025,0.0025,0.995
188,0.2,0.0,0.0225,0.411875,0.365625
189,0.63,0.0,0.005,0.03,0.335
190,0.8525,0.0,0.0,0.0775,0.07
191,0.475,0.0225,0.0425,0.4,0.06
192,0.455,0.0,0.0325,0.305,0.2075
193,0.03,0.0,0.055,0.185,0.73
194,0.38,0.0125,0.0075,0.06,0.54
195,0.7475,0.0,0.0,0.05,0.2025
196,0.5325,0.01,0.0075,0.071,0.379
197,0.7275,0.0,0.03,0.215,0.0275
198,0.66,0.0,0.06,0.145,0.135
199,0.5475,0.0,0.01,0.2675,0.175
200,0.6775,0.0,0.01,0.095,0.2175
201,0.0,0.0025,0.0025,0.0,0.995
202,0.4125,0.0,0.01,0.145,0.4325
203,0.595,0.0,0.005,0.2975,0.1025
204,0.85,0.0,0.0025,0.0225,0.125
205,0.1825,0.0,0.1225,0.4475,0.2475
206,0.365,0.0,0.02,0.0575,0.5575
207,0.1725,0.0,0.015,0.4925,0.32
208,0.3775,0.0,0.1175,0.37,0.135
209,0.2125,0.0,0.0075,0.5175,0.2625
210,0.52375,0.0,0.005,0.39125,0.08
211,0.0,0.0,0.0775,0.0,0.9225
212,0.175,0.0,0.0425,0.53,0.2525
213,0.5675,0.0,0.055,0.325,0.0525
214,0.725,0.0,0.005,0.07,0.2
215,0.0,0.01,0.0175,0.0,0.9725
216,0.62,0.0,0.0125,0.14,0.2275
217,0.76875,0.0025,0.0225,0.0125,0.19375
218,0.1675,0.0,0.0275,0.0575,0.7475
219,0.2425,0.0,0.01,0.1,0.6475
220,0.2225,0.0,0.0275,0.61,0.14
221,0.03,0.0,0.0525,0.36,0.5575
222,0.0,0.0425,0.0675,0.0,0.89
223,0.25,0.03,0.07,0.0,0.65
224,0.665,0.0,0.0025,0.2775,0.055
225,0.165,0.0,0.1575,0.555,0.1225
226,0.5,0.0,0.0225,0.2325,0.245
227,0.0175,0.0025,0.1825,0.0,0.7975
228,0.005,0.0225,0.0225,0.0025,0.9475
229,0.6325,0.0,0.0375,0.0825,0.2475
230,0.0025,0.01,0.045,0.0,0.9425
231,0.9875,0.0,0.0,0.0075,0.005
232,0.8625,0.0,0.0,0.0475,0.09
233,0.0075,0.0225,0.035,0.0025,0.9325
234,0.1825,0.0025,0.175,0.2875,0.3525
235,0.365,0.0,0.055,0.5125,0.0675
236,0.87,0.0,0.0,0.0025,0.1275
237,0.283333333333,0.0,0.0175,0.5375,0.161666666667
238,0.005,0.0025,0.105714285714,0.05,0.836785714286
239,0.723916666667,0.0,0.0025,0.268583333333,0.005
240,0.6675,0.0025,0.0325,0.02,0.2775
241,0.915,0.0,0.0,0.035,0.05
242,0.2325,0.0,0.0175,0.5475,0.2025
243,0.9425,0.0,0.0,0.005,0.0525
244,0.4825,0.0,0.0375,0.26,0.22
245,0.25125,0.0,0.0375,0.12,0.59125
246,0.3825,0.0,0.015,0.4725,0.13
247,0.2625,0.0,0.0,0.1075,0.63
248,0.53,0.0025,0.0025,0.1,0.365
249,0.24,0.0,0.0325,0.565,0.1625
250,0.905,0.0,0.0,0.025,0.07
251,0.0025,0.0025,0.025,0.8925,0.0775
252,0.33,0.0,0.045,0.345,0.28
253,0.0025,0.0,0.005,0.0,0.9925
254,0.255,0.0,0.14,0.4325,0.1725
255,0.0,0.0,0.0075,0.0,0.9925
256,0.4225,0.0,0.035,0.3175,0.225
257,0.185,0.0,0.0425,0.215,0.5575
258,0.7225,0.0,0.005,0.0225,0.25
259,0.425,0.0025,0.0425,0.275,0.255
260,0.9025,0.0,0.0,0.0525,0.045
261,0.595,0.0,0.0,0.11,0.295
262,0.7875,0.0,0.0025,0.105,0.105
263,0.705,0.0,0.005,0.245,0.045
264,0.45,0.0025,0.03,0.22,0.2975
265,0.375,0.0,0.0,0.485,0.14
266,0.4625,0.0075,0.07,0.1575,0.3025
267,0.01,0.0025,0.04,0.005,0.9425
268,0.0025,0.02,0.3825,0.0,0.595
269,0.0,0.0225,0.0175,0.0,0.96
270,0.8225,0.0,0.005,0.0975,0.075
271,0.005,0.015,0.0375,0.0,0.9425
272,0.2675,0.0225,0.17,0.0025,0.5375
273,0.05,0.105,0.05,0.485,0.31
274,0.2475,0.0425,0.1525,0.1625,0.395
275,0.3075,0.0225,0.325,0.0625,0.2825
276,0.0025,0.0025,0.065,0.0,0.93
277,0.0,0.015,0.01,0.0025,0.9725
278,0.155,0.1225,0.1025,0.0875,0.5325
279,0.4975,0.0,0.015,0.065,0.4225
280,0.0575,0.06,0.0825,0.105,0.695
281,0.3225,0.0,0.08,0.3025,0.295
282,0.275,0.0,0.045,0.4025,0.2775
283,0.0,0.0,0.005,0.0025,0.9925
284,0.695,0.0,0.0,0.0375,0.2675
285,0.1275,0.0,0.125,0.495,0.2525
286,0.32,0.005,0.0425,0.2825,0.35
287,0.0025,0.025,0.1175,0.0075,0.8475
288,0.0,0.0,0.045,0.0,0.955
289,0.73,0.0,0.025,0.12,0.125
290,0.325,0.0,0.0275,0.345,0.3025
291,0.905,0.0,0.0175,0.0,0.0775
292,0.9925,0.0,0.0,0.005,0.0025
293,0.7425,0.0,0.0125,0.02,0.225
294,0.065,0.015,0.185,0.0275,0.7075
295,0.13,0.0,0.0475,0.7375,0.085
296,0.0025,0.0025,0.02,0.0025,0.9725
297,0.22,0.0,0.075,0.6,0.105
298,0.0275,0.0025,0.1875,0.115,0.6675
299,0.74,0.0,0.01,0.165,0.085
300,0.3875,0.0,0.02,0.265,0.3275
301,0.415,0.0,0.0025,0.551666666667,0.0308333333333
302,0.62125,0.0,0.0025,0.0025,0.37375
303,0.97,0.0,0.0025,0.015,0.0125
304,0.455,0.0,0.055,0.2475,0.2425
305,0.0,0.0,0.185,0.02,0.795
306,0.405,0.01,0.0725,0.4425,0.07
307,0.9075,0.0,0.0,0.06,0.0325
308,0.205,0.0,0.0125,0.1575,0.625
309,0.9225,0.0,0.0025,0.0525,0.0225
310,0.085,0.015,0.0225,0.0025,0.875
311,0.39,0.0025,0.0375,0.2,0.37
312,0.865,0.0,0.01,0.0275,0.0975
313,0.0,0.0,0.0775,0.0025,0.92
314,0.465,0.0,0.0475,0.25025,0.23725
315,0.0075,0.0,0.005,0.0,0.9875
316,0.47,0.005,0.0075,0.4225,0.095
317,0.2675,0.015,0.02,0.5175,0.18
318,0.79,0.0075,0.005,0.1275,0.07
319,0.0,0.0,0.01,0.0025,0.9875
320,0.455,0.0,0.0125,0.485,0.0475
321,0.205,0.0,0.0275,0.285,0.4825
322,0.0,0.0,0.0075,0.0,0.9925
323,0.0,0.0,0.0575,0.0,0.9425
324,0.765,0.0,0.015,0.015,0.205
325,0.8125,0.0,0.0,0.005,0.1825
326,0.9425,0.0,0.0,0.03,0.0275
327,0.7,0.0,0.0025,0.0625,0.235
328,0.4675,0.0,0.0475,0.3475,0.1375
329,0.7475,0.0,0.0125,0.175,0.065
330,0.0575,0.0025,0.0375,0.22,0.6825
331,0.175,0.0,0.155,0.3525,0.3175
332,0.0,0.0,0.0225,0.0,0.9775
333,0.9775,0.0,0.005,0.0125,0.005
334,0.2675,0.0,0.0,0.0175,0.715
335,0.0075,0.2,0.1675,0.035,0.59
336,0.8725,0.0,0.0025,0.015,0.11
337,0.0,0.005,0.72,0.005,0.27
338,0.415,0.0475,0.0075,0.0925,0.4375
339,0.0275,0.0175,0.14,0.0475,0.7675
340,0.565,0.0,0.1825,0.1675,0.085
341,0.2175,0.0025,0.165,0.0775,0.5375
342,0.648125,0.0,0.01,0.015,0.326875
343,0.0175,0.0075,0.51,0.0375,0.4275
344,0.6925,0.0,0.0,0.145,0.1625
345,0.877333333333,0.0,0.0,0.0376666666667,0.085
346,0.5025,0.0,0.0175,0.325,0.155
347,0.1325,0.0,0.0075,0.7925,0.0675
348,0.0775,0.0825,0.0475,0.0075,0.785
349,0.115,0.0,0.13,0.6425,0.1125
350,0.4125,0.0,0.1825,0.2,0.205
351,0.705,0.0,0.01,0.16,0.125
352,0.0,0.0075,0.0325,0.0,0.96
353,0.3875,0.0,0.0425,0.535,0.035
354,0.51,0.0,0.0025,0.0,0.4875
355,0.6175,0.0,0.0075,0.2325,0.1425
356,0.0025,0.29,0.2275,0.0,0.48
357,0.4175,0.01,0.005,0.05,0.5175
358,0.4375,0.0,0.0,0.055,0.5075
359,0.1975,0.0975,0.0275,0.0,0.6775
360,0.6925,0.0,0.0025,0.05,0.255
361,0.915,0.0,0.0,0.0,0.085
362,0.04,0.0025,0.325,0.22,0.4125
363,0.2225,0.0025,0.0325,0.3325,0.41
364,0.7375,0.0025,0.005,0.0375,0.2175
365,0.6475,0.0,0.005,0.0525,0.295
366,0.0025,0.0,0.5475,0.0,0.45
367,0.52,0.0,0.005,0.04,0.435
368,0.0425,0.0275,0.4975,0.0675,0.365
369,0.0,0.0125,0.055,0.0,0.9325
370,0.5575,0.0,0.0125,0.05,0.38
371,0.535,0.0,0.02,0.2675,0.1775
372,0.7875,0.0,0.0075,0.08,0.125
373,0.9975,0.0025,0.0,0.0,0.0
374,0.18,0.0,0.045,0.3275,0.4475
375,0.0,0.0025,0.0575,0.0,0.94
376,0.4275,0.0175,0.025,0.4625,0.0675
377,0.44375,0.0,0.1975,0.08875,0.27
378,0.745,0.0025,0.0075,0.225,0.02
379,0.345,0.0025,0.035,0.1675,0.45
380,0.195,0.195,0.0075,0.015,0.5875
381,0.8225,0.0025,0.03,0.0125,0.1325
382,0.0,0.005,0.1125,0.0,0.8825
383,0.0025,0.1925,0.0575,0.0025,0.745
384,0.0,0.005,0.15,0.005,0.84
385,0.4075,0.0,0.0125,0.51,0.07
386,0.1125,0.0,0.01,0.7125,0.165
387,0.0,0.01,0.14,0.0,0.85
388,0.775,0.0,0.005,0.15,0.07
389,0.9725,0.0,0.0,0.0175,0.01
390,0.9975,0.0,0.0,0.0,0.0025
391,0.0325,0.0,0.1225,0.36,0.485
392,0.0,0.0025,0.0325,0.0075,0.9575
393,0.9725,0.0,0.005,0.005,0.0175
394,0.0075,0.005,0.0125,0.0025,0.9725
395,0.345,0.0025,0.0725,0.3,0.28
396,0.145,0.0,0.035,0.48,0.34
397,0.0575,0.0,0.2675,0.325,0.35
398,0.575,0.055,0.025,0.0,0.345
399,0.63,0.0025,0.0025,0.3025,0.0625
400,0.6125,0.01,0.045,0.0675,0.265
401,0.88,0.0,0.015,0.065,0.04
402,0.615,0.0,0.0075,0.0775,0.3
403,0.6025,0.0,0.0075,0.36,0.03
404,0.0,0.035,0.0275,0.0,0.9375
405,0.29,0.0025,0.0225,0.025,0.66
406,0.33,0.005,0.11,0.4425,0.1125
407,0.507261904762,0.0,0.005,0.0225,0.465238095238
408,0.1175,0.0,0.075,0.437,0.3705
409,0.865833333333,0.005,0.0,0.0466666666667,0.0825
410,0.0,0.0075,0.015,0.0,0.9775
411,0.1225,0.01,0.0775,0.655,0.135
412,0.96,0.0,0.0,0.01,0.03
413,0.51,0.0,0.0425,0.275,0.1725
414,0.99,0.0,0.0,0.005,0.005
415,0.385,0.0,0.135,0.31,0.17
416,1.0,0.0,0.0,0.0,0.0
417,0.4,0.0,0.01,0.295,0.295
418,0.255,0.0,0.0,0.24,0.505
419,0.9325,0.0,0.0,0.045,0.0225
420,0.7375,0.0,0.005,0.1075,0.15
421,0.905,0.0,0.0,0.0925,0.0025
422,0.0025,0.005,0.0075,0.0,0.985
423,0.0,0.0425,0.1225,0.0,0.835
424,0.8625,0.0525,0.0025,0.01,0.0725
425,0.53375,0.0025,0.02,0.0575,0.38625
426,0.01,0.06,0.315,0.035,0.58
427,0.8975,0.0,0.0075,0.0075,0.0875
428,0.0025,0.0025,0.355,0.0,0.64
429,0.0675,0.015,0.0075,0.135,0.775
430,0.0,0.0,0.005,0.0,0.995
431,0.6165,0.0,0.0125,0.055,0.316
432,0.18,0.0025,0.0675,0.475,0.275
433,0.3675,0.0,0.015,0.3525,0.265
434,0.3975,0.005,0.0275,0.5025,0.0675
435,0.0025,0.0025,0.1125,0.0025,0.88
436,0.0025,0.0,0.0075,0.0,0.99
437,0.6475,0.0025,0.005,0.0275,0.3175
438,0.3,0.0025,0.035,0.3025,0.36
439,0.0,0.0,0.1575,0.0175,0.825
440,0.5375,0.0,0.0025,0.0475,0.4125
441,0.07,0.085,0.265,0.0375,0.5425
442,0.575,0.0,0.015,0.235,0.175
443,0.8975,0.0,0.0025,0.04,0.06
444,0.2475,0.0,0.0325,0.6325,0.0875
445,0.6325,0.0,0.0125,0.3125,0.0425
446,0.685,0.0,0.0175,0.155,0.1425
447,0.45,0.005,0.055,0.055,0.435
448,0.02,0.0125,0.005,0.0,0.9625
449,0.7625,0.03,0.0025,0.005,0.2
450,0.1825,0.0025,0.055,0.12,0.64
451,0.0025,0.0,0.0275,0.0,0.97
452,0.145,0.0025,0.0825,0.27,0.5
453,0.508333333333,0.0,0.0,0.441666666667,0.05
454,0.0,0.0,0.0175,0.0,0.9825
455,0.4875,0.0,0.005,0.3225,0.185
456,0.705,0.0,0.055,0.2175,0.0225
457,0.9275,0.0,0.0125,0.025,0.035
458,0.065,0.0025,0.2675,0.38,0.285
459,0.663958333333,0.0,0.0,0.025,0.311041666667
460,0.0,0.0125,0.1875,0.0,0.8
461,0.7,0.0,0.0025,0.1375,0.16
462,0.175,0.0,0.065,0.55,0.21
463,0.0,0.0075,0.1925,0.0,0.8
464,0.0375,0.0,0.1825,0.44,0.34
465,0.4625,0.0,0.0725,0.28,0.185
466,0.775,0.0,0.0025,0.175,0.0475
467,0.02,0.0,0.3925,0.0675,0.52
468,0.845,0.0,0.0125,0.1125,0.03
469,0.515,0.0025,0.015,0.105,0.3625
470,0.3475,0.0,0.065,0.0475,0.54
471,0.0025,0.0075,0.0125,0.0,0.9775
472,0.0075,0.01,0.595,0.025,0.3625
473,0.85,0.0025,0.015,0.02,0.1125
474,0.4975,0.0,0.0475,0.385,0.07
475,0.4525,0.0,0.0025,0.3625,0.1825
476,0.915,0.0,0.005,0.0575,0.0225
477,0.0,0.0,0.015,0.0,0.985
478,0.3025,0.0,0.1675,0.395,0.135
479,0.0,0.0025,0.005,0.0,0.9925
480,0.9925,0.0,0.0025,0.005,0.0
481,0.02,0.0025,0.075,0.7375,0.165
482,0.135,0.0025,0.1175,0.33,0.415
483,0.2575,0.0,0.0375,0.615,0.09
484,0.01,0.0275,0.065,0.05,0.8475
485,0.6825,0.005,0.0175,0.135,0.16
486,0.03,0.0,0.1825,0.5675,0.22
487,0.7275,0.0,0.0,0.11,0.1625
488,0.6175,0.0,0.0,0.29,0.0925
489,0.28,0.0275,0.045,0.0075,0.64
490,0.0,0.0075,0.0125,0.0,0.98
491,0.0,0.005,0.005,0.0,0.99
492,0.01,0.0,0.2375,0.4325,0.32
493,0.1975,0.0,0.025,0.725,0.0525
494,0.685,0.0,0.0025,0.245,0.0675
495,0.085,0.0,0.055,0.1475,0.7125
496,0.5775,0.0075,0.0025,0.1075,0.305
497,0.1575,0.0,0.0,0.03,0.8125
498,0.4975,0.0,0.0275,0.2,0.275
499,0.78,0.0,0.0025,0.0725,0.145
500,0.2875,0.0,0.1625,0.415,0.135
501,0.8925,0.0,0.0025,0.0025,0.1025
502,0.3775,0.0,0.05,0.3925,0.18
503,0.52,0.0075,0.09,0.03,0.3525
504,0.870416666667,0.0025,0.0025,0.01,0.114583333333
505,0.3225,0.0025,0.02,0.4425,0.2125
506,0.3225,0.0225,0.045,0.404166666667,0.205833333333
507,0.11,0.0025,0.1975,0.415,0.275
508,0.3925,0.0,0.1975,0.255,0.155
509,0.575,0.005,0.0925,0.1725,0.155
510,0.755833333333,0.0,0.00166666666667,0.0025,0.24
511,0.5725,0.0075,0.0025,0.21,0.2075
512,0.0725,0.005,0.055,0.76,0.1075
513,0.66,0.0,0.0375,0.2425,0.06
514,0.14,0.0,0.045,0.02,0.795
515,0.2,0.0025,0.0225,0.715,0.06
516,0.455,0.0025,0.0225,0.18,0.34
517,0.115,0.0025,0.1375,0.045,0.7
518,0.525,0.025,0.02,0.07,0.36
519,0.0,0.0,0.0125,0.0,0.9875
520,0.0,0.005,0.0225,0.0,0.9725
521,0.515,0.0,0.03,0.255,0.2
522,0.5325,0.015,0.0175,0.16,0.275
523,0.945,0.0025,0.0,0.015,0.0375
524,0.2675,0.0,0.0125,0.125,0.595
525,0.609583333333,0.0,0.0,0.0,0.390416666667
526,0.2,0.0075,0.0475,0.675,0.07
527,0.405,0.0,0.01,0.4025,0.1825
528,0.1775,0.0,0.02,0.565,0.2375
529,0.005,0.0,0.035,0.0,0.96
530,0.926666666667,0.005,0.0,0.01,0.0583333333333
531,0.0,0.01,0.0525,0.0,0.9375
532,0.3675,0.0,0.01,0.5775,0.045
533,0.9025,0.0,0.0,0.0075,0.09
534,0.905,0.0,0.0225,0.025,0.0475
535,0.005,0.0625,0.205,0.0,0.7275
536,0.79,0.0,0.005,0.0275,0.1775
537,0.7175,0.0,0.04,0.1525,0.09
538,0.2375,0.0025,0.0125,0.08,0.6675
539,0.4625,0.0,0.0425,0.37,0.125
540,0.015,0.0075,0.2175,0.185,0.575
541,0.0025,0.005,0.0340476190476,0.86,0.0984523809524
542,0.0,0.0,0.04,0.005,0.955
543,0.85,0.0,0.0,0.09,0.06
544,0.0,0.0025,0.085,0.0,0.9125
545,0.005,0.0,0.0025,0.0,0.9925
546,0.6625,0.0,0.0,0.2725,0.065
547,0.0,0.0025,0.0075,0.0,0.99
548,0.8225,0.0,0.045,0.0525,0.08
549,0.045,0.0825,0.305,0.1225,0.445
550,0.0,0.0,0.01,0.0,0.99
551,0.32,0.0,0.0125,0.095,0.5725
552,0.6375,0.0,0.0075,0.08,0.275
553,0.7875,0.0,0.0025,0.16,0.05
554,0.695,0.0,0.0,0.0075,0.2975
555,0.0,0.0,0.0125,0.0,0.9875
556,0.21,0.0,0.3625,0.0325,0.395
557,0.055,0.0025,0.08,0.435,0.4275
558,0.845,0.0,0.0,0.0575,0.0975
559,0.93125,0.0,0.0,0.02,0.04875
560,0.26,0.0025,0.0575,0.61,0.07
561,0.57,0.0,0.0125,0.3675,0.05
562,0.24,0.0,0.115,0.5725,0.0725
563,0.015,0.0,0.085,0.21,0.69
564,0.6175,0.0,0.0025,0.3175,0.0625
565,0.0075,0.005,0.31,0.0,0.6775
566,0.365,0.0,0.095,0.2475,0.2925
567,0.01,0.0125,0.063125,0.04,0.874375
568,0.91,0.0,0.01,0.0475,0.0325
569,0.5625,0.0,0.015,0.3175,0.105
570,0.65,0.0,0.0025,0.1975,0.15
571,0.7425,0.0,0.0075,0.215,0.035
572,0.3325,0.0,0.0025,0.43,0.235
573,0.025,0.0,0.1325,0.2325,0.61
574,0.0,0.005,0.1725,0.0,0.8225
